#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   205.0           3.4261E+00              3.4261E+00
   206.0           3.4268E+00              3.4268E+00
   207.0           3.4276E+00              3.4276E+00
   208.0           3.4283E+00              3.4283E+00
   209.0           3.4291E+00              3.4291E+00
   210.0           3.4298E+00              3.4298E+00
   211.0           3.4305E+00              3.4305E+00
   212.0           3.4313E+00              3.4313E+00
   213.0           3.4320E+00              3.4320E+00
   214.0           3.4327E+00              3.4327E+00
   215.0           3.4334E+00              3.4334E+00
   216.0           3.4341E+00              3.4341E+00
   217.0           3.4348E+00              3.4348E+00
   218.0           3.4355E+00              3.4355E+00
   219.0           3.4362E+00              3.4362E+00
   220.0           3.4369E+00              3.4369E+00
   221.0           3.4376E+00              3.4376E+00
   222.0           3.4382E+00              3.4382E+00
   223.0           3.4389E+00              3.4389E+00
   224.0           3.4396E+00              3.4396E+00
   225.0           3.4403E+00              3.4403E+00
   226.0           3.4409E+00              3.4409E+00
   227.0           3.4416E+00              3.4416E+00
   228.0           3.4422E+00              3.4422E+00
   229.0           3.4429E+00              3.4429E+00
   230.0           3.4436E+00              3.4436E+00
   231.0           3.4442E+00              3.4442E+00
   232.0           3.4448E+00              3.4448E+00
   233.0           3.4455E+00              3.4455E+00
   234.0           3.4461E+00              3.4461E+00
   235.0           3.4468E+00              3.4468E+00
   236.0           3.4474E+00              3.4474E+00
   237.0           3.4480E+00              3.4480E+00
   238.0           3.4487E+00              3.4487E+00
   239.0           3.4493E+00              3.4493E+00
   240.0           3.4499E+00              3.4499E+00
   241.0           3.4505E+00              3.4505E+00
   242.0           3.4511E+00              3.4511E+00
   243.0           3.4518E+00              3.4518E+00
   244.0           3.4524E+00              3.4524E+00
   245.0           3.4530E+00              3.4530E+00
   246.0           3.4536E+00              3.4536E+00
   247.0           3.4542E+00              3.4542E+00
   248.0           3.4548E+00              3.4548E+00
   249.0           3.4554E+00              3.4554E+00
   250.0           3.4560E+00              3.4560E+00
   251.0           3.4566E+00              3.4566E+00
   252.0           3.4572E+00              3.4572E+00
   253.0           3.4578E+00              3.4578E+00
   254.0           3.4584E+00              3.4584E+00
   255.0           3.4590E+00              3.4590E+00
   256.0           3.4596E+00              3.4596E+00
   257.0           3.4602E+00              3.4602E+00
   258.0           3.4608E+00              3.4608E+00
   259.0           3.4614E+00              3.4614E+00
   260.0           3.4620E+00              3.4620E+00
   261.0           3.4625E+00              3.4625E+00
   262.0           3.4631E+00              3.4631E+00
   263.0           3.4637E+00              3.4637E+00
   264.0           3.4643E+00              3.4643E+00
   265.0           3.4649E+00              3.4649E+00
   266.0           3.4655E+00              3.4655E+00
   267.0           3.4661E+00              3.4661E+00
   268.0           3.4667E+00              3.4666E+00
   269.0           3.4672E+00              3.4672E+00
   270.0           3.4678E+00              3.4678E+00
   271.0           3.4684E+00              3.4684E+00
   272.0           3.4690E+00              3.4690E+00
   273.0           3.4696E+00              3.4696E+00
   274.0           3.4702E+00              3.4702E+00
   275.0           3.4708E+00              3.4708E+00
   276.0           3.4713E+00              3.4713E+00
   277.0           3.4719E+00              3.4719E+00
   278.0           3.4725E+00              3.4725E+00
   279.0           3.4731E+00              3.4731E+00
   280.0           3.4737E+00              3.4737E+00
   281.0           3.4743E+00              3.4743E+00
   282.0           3.4749E+00              3.4749E+00
   283.0           3.4755E+00              3.4755E+00
   284.0           3.4761E+00              3.4761E+00
   285.0           3.4767E+00              3.4767E+00
   286.0           3.4773E+00              3.4773E+00
   287.0           3.4779E+00              3.4779E+00
   288.0           3.4785E+00              3.4784E+00
   289.0           3.4791E+00              3.4790E+00
   290.0           3.4797E+00              3.4797E+00
   291.0           3.4803E+00              3.4803E+00
   292.0           3.4809E+00              3.4809E+00
   293.0           3.4815E+00              3.4815E+00
   294.0           3.4821E+00              3.4821E+00
   295.0           3.4827E+00              3.4827E+00
   296.0           3.4833E+00              3.4833E+00
   297.0           3.4839E+00              3.4839E+00
   298.0           3.4845E+00              3.4845E+00
   299.0           3.4852E+00              3.4852E+00
   300.0           3.4858E+00              3.4858E+00
   301.0           3.4864E+00              3.4864E+00
   302.0           3.4870E+00              3.4870E+00
   303.0           3.4877E+00              3.4877E+00
   304.0           3.4883E+00              3.4883E+00
   305.0           3.4889E+00              3.4889E+00
   306.0           3.4896E+00              3.4896E+00
   307.0           3.4902E+00              3.4902E+00
   308.0           3.4908E+00              3.4908E+00
   309.0           3.4915E+00              3.4915E+00
   310.0           3.4921E+00              3.4921E+00
   311.0           3.4928E+00              3.4928E+00
   312.0           3.4934E+00              3.4934E+00
   313.0           3.4941E+00              3.4941E+00
   314.0           3.4947E+00              3.4947E+00
   315.0           3.4954E+00              3.4954E+00
   316.0           3.4960E+00              3.4960E+00
   317.0           3.4967E+00              3.4967E+00
   318.0           3.4973E+00              3.4973E+00
   319.0           3.4980E+00              3.4980E+00
   320.0           3.4987E+00              3.4986E+00
   321.0           3.4993E+00              3.4993E+00
   322.0           3.5000E+00              3.5000E+00
   323.0           3.5006E+00              3.5006E+00
   324.0           3.5013E+00              3.5013E+00
   325.0           3.5020E+00              3.5020E+00
   326.0           3.5026E+00              3.5026E+00
   327.0           3.5033E+00              3.5033E+00
   328.0           3.5039E+00              3.5039E+00
   329.0           3.5046E+00              3.5046E+00
   330.0           3.5053E+00              3.5053E+00
   331.0           3.5059E+00              3.5059E+00
   332.0           3.5066E+00              3.5066E+00
   333.0           3.5073E+00              3.5073E+00
   334.0           3.5079E+00              3.5079E+00
   335.0           3.5086E+00              3.5086E+00
   336.0           3.5093E+00              3.5093E+00
   337.0           3.5099E+00              3.5099E+00
   338.0           3.5106E+00              3.5106E+00
   339.0           3.5113E+00              3.5113E+00
   340.0           3.5119E+00              3.5119E+00
   341.0           3.5126E+00              3.5126E+00
   342.0           3.5133E+00              3.5133E+00
   343.0           3.5139E+00              3.5139E+00
   344.0           3.5146E+00              3.5146E+00
   345.0           3.5152E+00              3.5152E+00
   346.0           3.5159E+00              3.5159E+00
   347.0           3.5166E+00              3.5166E+00
   348.0           3.5172E+00              3.5172E+00
   349.0           3.5179E+00              3.5179E+00
   350.0           3.5185E+00              3.5185E+00
   351.0           3.5192E+00              3.5192E+00
   352.0           3.5198E+00              3.5198E+00
   353.0           3.5205E+00              3.5205E+00
   354.0           3.5212E+00              3.5212E+00
   355.0           3.5218E+00              3.5218E+00
   356.0           3.5225E+00              3.5225E+00
   357.0           3.5231E+00              3.5231E+00
   358.0           3.5237E+00              3.5237E+00
   359.0           3.5244E+00              3.5244E+00
   360.0           3.5250E+00              3.5250E+00
   361.0           3.5257E+00              3.5257E+00
   362.0           3.5263E+00              3.5263E+00
   363.0           3.5270E+00              3.5270E+00
   364.0           3.5276E+00              3.5276E+00
