#ndep: 2897
#depth (km)   Vpv_arithmetic (km/s)   Vpv_geometric (km/s)
   269.0           8.4650E+00              8.4648E+00
   270.0           8.4701E+00              8.4699E+00
   271.0           8.4752E+00              8.4750E+00
   272.0           8.4803E+00              8.4802E+00
   273.0           8.4854E+00              8.4853E+00
   274.0           8.4905E+00              8.4903E+00
   275.0           8.4956E+00              8.4954E+00
   276.0           8.5007E+00              8.5005E+00
   277.0           8.5058E+00              8.5056E+00
   278.0           8.5108E+00              8.5106E+00
   279.0           8.5158E+00              8.5157E+00
   280.0           8.5209E+00              8.5207E+00
   281.0           8.5259E+00              8.5257E+00
   282.0           8.5309E+00              8.5307E+00
   283.0           8.5359E+00              8.5357E+00
   284.0           8.5408E+00              8.5407E+00
   285.0           8.5458E+00              8.5456E+00
   286.0           8.5508E+00              8.5506E+00
   287.0           8.5557E+00              8.5555E+00
   288.0           8.5606E+00              8.5605E+00
   289.0           8.5655E+00              8.5654E+00
   290.0           8.5704E+00              8.5703E+00
   291.0           8.5753E+00              8.5751E+00
   292.0           8.5801E+00              8.5800E+00
   293.0           8.5850E+00              8.5848E+00
   294.0           8.5898E+00              8.5896E+00
   295.0           8.5946E+00              8.5945E+00
   296.0           8.5994E+00              8.5993E+00
   297.0           8.6042E+00              8.6040E+00
   298.0           8.6089E+00              8.6088E+00
   299.0           8.6137E+00              8.6135E+00
   300.0           8.6184E+00              8.6182E+00
   301.0           8.6231E+00              8.6229E+00
   302.0           8.6277E+00              8.6276E+00
   303.0           8.6324E+00              8.6322E+00
   304.0           8.6370E+00              8.6369E+00
   305.0           8.6416E+00              8.6415E+00
   306.0           8.6462E+00              8.6461E+00
   307.0           8.6508E+00              8.6506E+00
   308.0           8.6553E+00              8.6552E+00
   309.0           8.6598E+00              8.6597E+00
   310.0           8.6643E+00              8.6642E+00
   311.0           8.6688E+00              8.6687E+00
   312.0           8.6732E+00              8.6731E+00
   313.0           8.6777E+00              8.6775E+00
   314.0           8.6821E+00              8.6819E+00
   315.0           8.6864E+00              8.6863E+00
   316.0           8.6908E+00              8.6907E+00
   317.0           8.6951E+00              8.6950E+00
   318.0           8.6994E+00              8.6993E+00
   319.0           8.7037E+00              8.7036E+00
   320.0           8.7080E+00              8.7078E+00
   321.0           8.7122E+00              8.7121E+00
   322.0           8.7164E+00              8.7163E+00
   323.0           8.7206E+00              8.7204E+00
   324.0           8.7247E+00              8.7246E+00
   325.0           8.7288E+00              8.7287E+00
   326.0           8.7329E+00              8.7328E+00
   327.0           8.7370E+00              8.7368E+00
   328.0           8.7410E+00              8.7409E+00
   329.0           8.7450E+00              8.7449E+00
   330.0           8.7490E+00              8.7489E+00
   331.0           8.7529E+00              8.7528E+00
   332.0           8.7568E+00              8.7567E+00
   333.0           8.7607E+00              8.7606E+00
   334.0           8.7646E+00              8.7645E+00
   335.0           8.7684E+00              8.7683E+00
   336.0           8.7722E+00              8.7721E+00
   337.0           8.7759E+00              8.7758E+00
   338.0           8.7797E+00              8.7796E+00
   339.0           8.7834E+00              8.7833E+00
   340.0           8.7870E+00              8.7869E+00
   341.0           8.7907E+00              8.7905E+00
   342.0           8.7942E+00              8.7941E+00
   343.0           8.7978E+00              8.7977E+00
   344.0           8.8013E+00              8.8012E+00
   345.0           8.8048E+00              8.8047E+00
   346.0           8.8083E+00              8.8082E+00
   347.0           8.8117E+00              8.8116E+00
   348.0           8.8151E+00              8.8150E+00
   349.0           8.8185E+00              8.8184E+00
   350.0           8.8218E+00              8.8217E+00
   351.0           8.8251E+00              8.8250E+00
   352.0           8.8283E+00              8.8282E+00
   353.0           8.8315E+00              8.8314E+00
   354.0           8.8347E+00              8.8346E+00
   355.0           8.8378E+00              8.8377E+00
   356.0           8.8409E+00              8.8408E+00
