#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   580.0           5.3723E+00              5.3721E+00
   581.0           5.3748E+00              5.3746E+00
   582.0           5.3773E+00              5.3772E+00
   583.0           5.3799E+00              5.3797E+00
   584.0           5.3824E+00              5.3822E+00
   585.0           5.3850E+00              5.3848E+00
   586.0           5.3875E+00              5.3874E+00
   587.0           5.3901E+00              5.3899E+00
   588.0           5.3927E+00              5.3925E+00
   589.0           5.3952E+00              5.3950E+00
   590.0           5.3978E+00              5.3976E+00
   591.0           5.4003E+00              5.4002E+00
   592.0           5.4029E+00              5.4027E+00
   593.0           5.4055E+00              5.4053E+00
   594.0           5.4081E+00              5.4079E+00
   595.0           5.4106E+00              5.4104E+00
   596.0           5.4132E+00              5.4130E+00
   597.0           5.4158E+00              5.4156E+00
   598.0           5.4184E+00              5.4182E+00
   599.0           5.4209E+00              5.4207E+00
   600.0           5.4235E+00              5.4233E+00
   601.0           5.4261E+00              5.4259E+00
   602.0           5.4287E+00              5.4285E+00
   603.0           5.4313E+00              5.4311E+00
   604.0           5.4338E+00              5.4337E+00
   605.0           5.4364E+00              5.4362E+00
   606.0           5.4390E+00              5.4388E+00
   607.0           5.4416E+00              5.4414E+00
   608.0           5.4442E+00              5.4440E+00
   609.0           5.4468E+00              5.4466E+00
   610.0           5.4494E+00              5.4492E+00
   611.0           5.4520E+00              5.4518E+00
   612.0           5.4546E+00              5.4544E+00
   613.0           5.4571E+00              5.4569E+00
   614.0           5.4597E+00              5.4595E+00
   615.0           5.4623E+00              5.4621E+00
   616.0           5.4649E+00              5.4647E+00
   617.0           5.4675E+00              5.4673E+00
   618.0           5.4701E+00              5.4699E+00
   619.0           5.4727E+00              5.4725E+00
   620.0           5.4753E+00              5.4751E+00
   621.0           5.4779E+00              5.4777E+00
   622.0           5.4804E+00              5.4802E+00
   623.0           5.4830E+00              5.4828E+00
   624.0           5.4856E+00              5.4854E+00
   625.0           5.4882E+00              5.4880E+00
   626.0           5.4908E+00              5.4906E+00
   627.0           5.4934E+00              5.4932E+00
   628.0           5.4959E+00              5.4957E+00
   629.0           5.4985E+00              5.4983E+00
   630.0           5.5011E+00              5.5009E+00
   631.0           5.5037E+00              5.5035E+00
   632.0           5.5062E+00              5.5060E+00
   633.0           5.5088E+00              5.5086E+00
   634.0           5.5114E+00              5.5112E+00
   635.0           5.5139E+00              5.5137E+00
   636.0           5.5165E+00              5.5163E+00
   637.0           5.5191E+00              5.5189E+00
   638.0           5.5216E+00              5.5214E+00
   639.0           5.5242E+00              5.5240E+00
   640.0           5.5267E+00              5.5265E+00
   641.0           5.5293E+00              5.5291E+00
   642.0           5.5318E+00              5.5316E+00
   643.0           5.5344E+00              5.5342E+00
   644.0           5.5369E+00              5.5367E+00
   645.0           5.5395E+00              5.5393E+00
   646.0           5.5420E+00              5.5418E+00
   647.0           5.5445E+00              5.5443E+00
   648.0           5.5471E+00              5.5469E+00
   649.0           5.5496E+00              5.5494E+00
   650.0           5.5521E+00              5.5519E+00
   651.0           5.9328E+00              5.9327E+00
   652.0           5.9347E+00              5.9345E+00
   653.0           5.9366E+00              5.9365E+00
