#ndep: 2897
#depth (km)      Eta_arithmetic          Eta_geometric
   216.0           9.7895E-01              9.7895E-01
   217.0           9.7943E-01              9.7943E-01
   218.0           9.7990E-01              9.7990E-01
   219.0           9.8036E-01              9.8036E-01
   220.0           9.8082E-01              9.8082E-01
   221.0           9.8128E-01              9.8128E-01
   222.0           9.8172E-01              9.8172E-01
   223.0           9.8216E-01              9.8216E-01
   224.0           9.8260E-01              9.8260E-01
   225.0           9.8303E-01              9.8303E-01
   226.0           9.8345E-01              9.8345E-01
   227.0           9.8387E-01              9.8387E-01
   228.0           9.8428E-01              9.8428E-01
   229.0           9.8469E-01              9.8469E-01
   230.0           9.8509E-01              9.8509E-01
   231.0           9.8549E-01              9.8549E-01
   232.0           9.8588E-01              9.8588E-01
   233.0           9.8626E-01              9.8626E-01
   234.0           9.8664E-01              9.8664E-01
   235.0           9.8701E-01              9.8701E-01
   236.0           9.8738E-01              9.8738E-01
   237.0           9.8774E-01              9.8774E-01
   238.0           9.8810E-01              9.8810E-01
   239.0           9.8845E-01              9.8845E-01
   240.0           9.8879E-01              9.8879E-01
   241.0           9.8913E-01              9.8913E-01
   242.0           9.8947E-01              9.8947E-01
   243.0           9.8980E-01              9.8980E-01
   244.0           9.9012E-01              9.9012E-01
   245.0           9.9044E-01              9.9044E-01
   246.0           9.9075E-01              9.9075E-01
   247.0           9.9106E-01              9.9106E-01
   248.0           9.9136E-01              9.9136E-01
   249.0           9.9166E-01              9.9166E-01
   250.0           9.9195E-01              9.9195E-01
   251.0           9.9224E-01              9.9224E-01
   252.0           9.9252E-01              9.9252E-01
   253.0           9.9280E-01              9.9280E-01
   254.0           9.9307E-01              9.9307E-01
   255.0           9.9334E-01              9.9334E-01
   256.0           9.9360E-01              9.9360E-01
   257.0           9.9385E-01              9.9385E-01
   258.0           9.9410E-01              9.9410E-01
   259.0           9.9435E-01              9.9435E-01
   260.0           9.9459E-01              9.9459E-01
   261.0           9.9483E-01              9.9483E-01
   262.0           9.9506E-01              9.9506E-01
   263.0           9.9528E-01              9.9528E-01
   264.0           9.9550E-01              9.9550E-01
   265.0           9.9572E-01              9.9572E-01
   266.0           9.9593E-01              9.9593E-01
   267.0           9.9614E-01              9.9614E-01
